Fecha,Hora,PM25,WD,WS,TMP,PM25_t1,doy,dow
2022-01-01,1,68,43,1.02,12.18,52.0,1,5
2022-01-01,2,80,55,0.667,12.02,68.0,1,5
2022-01-01,3,132,44,1.032,11.45,80.0,1,5
2022-01-01,6,84,132,0.191,7.81,138.0,1,5
2022-01-01,7,56,110,0.203,7.17,84.0,1,5
2022-01-01,8,45,75,0.555,6.61,56.0,1,5
2022-01-01,9,52,59,0.615,8.15,45.0,1,5
2022-01-01,10,77,55,1.671,12.29,52.0,1,5
2022-01-01,11,26,66,2.127,15.28,77.0,1,5
2022-01-01,12,10,72,2.526,18.17,26.0,1,5
2022-01-01,13,8,82,2.219,20.4,10.0,1,5
2022-01-01,14,6,85,2.02,22.41,8.0,1,5
2022-01-01,15,9,151,3.281,23.03,6.0,1,5
2022-01-01,16,3,161,3.969,23.12,9.0,1,5
2022-01-01,17,1,154,3.512,23.18,3.0,1,5
2022-01-01,18,26,153,2.394,22.62,1.0,1,5
2022-01-01,21,13,202,0.719,17.58,25.0,1,5
2022-01-01,22,9,196,0.331,16.03,13.0,1,5
2022-01-01,23,6,47,0.876,15.28,9.0,1,5
2022-01-02,0,22,151,0.324,13.61,6.0,2,6
2022-01-02,1,21,206,0.212,12.23,22.0,2,6
2022-01-02,2,16,205,0.158,11.08,21.0,2,6
2022-01-02,3,23,221,0.402,9.67,16.0,2,6
2022-01-02,4,26,192,0.47,7.86,23.0,2,6
2022-01-02,5,17,216,0.878,6.44,26.0,2,6
2022-01-02,6,18,208,0.881,5.53,17.0,2,6
2022-01-02,7,10,209,1.18,5.08,18.0,2,6
2022-01-02,8,16,203,0.989,4.77,10.0,2,6
2022-01-02,9,18,217,1.378,5.79,16.0,2,6
2022-01-02,10,15,245,1.919,9.61,18.0,2,6
2022-01-02,11,9,242,2.222,14.58,15.0,2,6
2022-01-02,12,5,236,3.195,17.51,9.0,2,6
2022-01-02,13,7,237,2.919,19.41,5.0,2,6
2022-01-02,14,8,232,3.068,21.02,7.0,2,6
2022-01-02,15,6,227,2.857,22.15,8.0,2,6
2022-01-02,16,6,232,2.257,22.89,6.0,2,6
2022-01-02,17,6,244,1.803,23.28,6.0,2,6
2022-01-02,18,4,236,1.379,22.93,6.0,2,6
2022-01-02,19,2,216,0.661,20.26,4.0,2,6
2022-01-02,20,10,222,0.189,18.25,2.0,2,6
2022-01-02,21,25,237,1.036,17.51,10.0,2,6
2022-01-02,22,19,226,1.192,16.06,25.0,2,6
2022-01-02,23,20,232,1.467,15.18,19.0,2,6
2022-01-03,0,19,252,1.56,13.5,20.0,3,0
2022-01-03,1,15,244,1.448,11.64,19.0,3,0
2022-01-03,2,11,239,1.999,10.95,15.0,3,0
2022-01-03,3,18,243,1.791,9.71,11.0,3,0
2022-01-03,4,13,247,1.667,8.78,18.0,3,0
2022-01-03,5,16,247,1.633,7.84,13.0,3,0
2022-01-03,6,14,248,1.756,7.46,16.0,3,0
2022-01-03,7,18,246,1.623,6.48,14.0,3,0
2022-01-03,8,20,236,1.721,5.94,18.0,3,0
2022-01-03,9,16,241,1.933,6.68,20.0,3,0
2022-01-03,10,17,240,1.946,8.66,16.0,3,0
2022-01-03,11,26,237,1.936,10.94,17.0,3,0
2022-01-03,12,32,236,1.734,13.07,26.0,3,0
2022-01-03,13,38,229,1.407,15.38,32.0,3,0
2022-01-03,14,22,203,0.969,17.47,38.0,3,0
2022-01-03,15,21,200,1.009,19.13,22.0,3,0
2022-01-03,16,23,118,1.459,20.54,21.0,3,0
2022-01-03,17,35,75,1.827,21.14,23.0,3,0
2022-01-03,18,31,72,1.559,21.13,35.0,3,0
2022-01-03,19,18,51,1.046,19.79,31.0,3,0
2022-01-03,20,27,97,0.492,17.68,18.0,3,0
2022-01-03,21,34,134,0.203,15.83,27.0,3,0
2022-01-03,22,32,275,0.113,15.04,34.0,3,0
2022-01-03,23,35,174,0.132,14.1,32.0,3,0
2022-01-04,0,29,139,0.246,13.17,35.0,4,1
2022-01-04,1,34,147,0.308,10.97,29.0,4,1
2022-01-04,2,35,219,0.893,9.03,34.0,4,1
2022-01-04,3,51,217,0.803,8.07,35.0,4,1
2022-01-04,4,45,216,0.515,7.28,51.0,4,1
