Fecha,Hora,WS
2022-01-01,0,0.945
2022-01-01,1,1.02
2022-01-01,2,0.667
2022-01-01,3,1.032
2022-01-01,4,0.959
2022-01-01,5,0.545
2022-01-01,6,0.191
2022-01-01,7,0.203
2022-01-01,8,0.555
2022-01-01,9,0.615
2022-01-01,10,1.671
2022-01-01,11,2.127
2022-01-01,12,2.526
2022-01-01,13,2.219
2022-01-01,14,2.02
2022-01-01,15,3.281
2022-01-01,16,3.969
2022-01-01,17,3.512
2022-01-01,18,2.394
2022-01-01,19,1.198
2022-01-01,20,0.718
2022-01-01,21,0.719
2022-01-01,22,0.331
2022-01-01,23,0.876
2022-01-02,0,0.324
2022-01-02,1,0.212
2022-01-02,2,0.158
2022-01-02,3,0.402
2022-01-02,4,0.47
2022-01-02,5,0.878
2022-01-02,6,0.881
2022-01-02,7,1.18
2022-01-02,8,0.989
2022-01-02,9,1.378
2022-01-02,10,1.919
2022-01-02,11,2.222
2022-01-02,12,3.195
2022-01-02,13,2.919
2022-01-02,14,3.068
2022-01-02,15,2.857
2022-01-02,16,2.257
2022-01-02,17,1.803
2022-01-02,18,1.379
2022-01-02,19,0.661
2022-01-02,20,0.189
2022-01-02,21,1.036
2022-01-02,22,1.192
2022-01-02,23,1.467
2022-01-03,0,1.56
2022-01-03,1,1.448
2022-01-03,2,1.999
2022-01-03,3,1.791
2022-01-03,4,1.667
2022-01-03,5,1.633
2022-01-03,6,1.756
2022-01-03,7,1.623
2022-01-03,8,1.721
2022-01-03,9,1.933
2022-01-03,10,1.946
2022-01-03,11,1.936
2022-01-03,12,1.734
2022-01-03,13,1.407
2022-01-03,14,0.969
2022-01-03,15,1.009
2022-01-03,16,1.459
2022-01-03,17,1.827
2022-01-03,18,1.559
2022-01-03,19,1.046
2022-01-03,20,0.492
2022-01-03,21,0.203
2022-01-03,22,0.113
2022-01-03,23,0.132
2022-01-04,0,0.246
2022-01-04,1,0.308
2022-01-04,2,0.893
2022-01-04,3,0.803
2022-01-04,4,0.515
2022-01-04,5,0.947
2022-01-04,6,1.092
2022-01-04,7,0.725
2022-01-04,8,0.896
2022-01-04,9,0.605
2022-01-04,10,0.335
2022-01-04,11,1.423
2022-01-04,12,2.114
2022-01-04,13,2.423
2022-01-04,14,2.044
2022-01-04,15,1.67
2022-01-04,16,1.272
2022-01-04,17,1.701
2022-01-04,18,1.73
2022-01-04,19,1.72
2022-01-04,20,1.578
2022-01-04,21,0.969
2022-01-04,22,0.413
2022-01-04,23,0.377
2022-01-05,0,0.228
2022-01-05,1,0.041
2022-01-05,2,0.07
2022-01-05,3,0.323
2022-01-05,4,1.115
2022-01-05,5,1.036
2022-01-05,6,0.772
2022-01-05,7,1.013
2022-01-05,8,0.706
2022-01-05,9,0.512
2022-01-05,10,0.443
2022-01-05,11,1.241
2022-01-05,12,1.809
2022-01-05,13,1.997
2022-01-05,14,2.009
2022-01-05,15,1.899
2022-01-05,16,3.509
2022-01-05,17,3.421
2022-01-05,18,1.668
2022-01-05,19,0.758
2022-01-05,20,1.339
2022-01-05,21,0.908
2022-01-05,22,0.365
2022-01-05,23,0.174
2022-01-06,0,0.436
2022-01-06,1,0.352
2022-01-06,2,0.045
2022-01-06,3,0.178
2022-01-06,4,0.18
2022-01-06,5,0.82
2022-01-06,6,0.848
2022-01-06,7,0.947
2022-01-06,8,0.955
2022-01-06,9,1.16
2022-01-06,10,1.136
2022-01-06,11,0.584
2022-01-06,12,0.675
2022-01-06,13,1.062
2022-01-06,14,1.509
2022-01-06,15,1.818
2022-01-06,16,2.729
2022-01-06,17,3.212
2022-01-06,18,1.875
2022-01-06,19,0.804
2022-01-06,20,0.408
2022-01-06,21,0.601
2022-01-06,22,0.647
2022-01-06,23,0.32
2022-01-07,0,0.27
2022-01-07,1,0.192
2022-01-07,2,0.524
2022-01-07,3,0.727
2022-01-07,4,0.98
2022-01-07,5,0.774
2022-01-07,6,0.824
2022-01-07,7,0.716
2022-01-07,8,0.806
2022-01-07,9,0.905
2022-01-07,10,0.974
2022-01-07,11,0.699
2022-01-07,12,1.281
2022-01-07,13,1.449
2022-01-07,14,1.905
2022-01-07,15,2.125
2022-01-07,16,2.293
2022-01-07,17,1.591
2022-01-07,18,0.908
2022-01-07,19,0.543
2022-01-07,20,0.796
2022-01-07,21,0.239
2022-01-07,22,0.297
2022-01-07,23,0.193
2022-01-08,0,0.216
2022-01-08,1,0.723
2022-01-08,2,0.608
2022-01-08,3,0.076
2022-01-08,4,0.0
2022-01-08,5,0.077
