"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2022-11-01","23:00 - 0:00","10","µg/m³"
"PM2.5","2022-11-01","0:00 - 1:00","6","µg/m³"
"PM2.5","2022-11-01","1:00 - 2:00","7","µg/m³"
"PM2.5","2022-11-01","2:00 - 3:00","12","µg/m³"
"PM2.5","2022-11-01","3:00 - 4:00","11","µg/m³"
"PM2.5","2022-11-01","4:00 - 5:00","14","µg/m³"
"PM2.5","2022-11-01","5:00 - 6:00","24","µg/m³"
"PM2.5","2022-11-01","6:00 - 7:00","18","µg/m³"
"PM2.5","2022-11-01","7:00 - 8:00","15","µg/m³"
"PM2.5","2022-11-01","8:00 - 9:00","10","µg/m³"
"PM2.5","2022-11-01","9:00 - 10:00","17","µg/m³"
"PM2.5","2022-11-01","10:00 - 11:00","9","µg/m³"
