"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2022-06-01","23:00 - 0:00","95","°A"
"DV","2022-06-01","0:00 - 1:00","122","°A"
"DV","2022-06-01","1:00 - 2:00","60","°A"
"DV","2022-06-01","2:00 - 3:00","37","°A"
"DV","2022-06-01","3:00 - 4:00","39","°A"
"DV","2022-06-01","4:00 - 5:00","335","°A"
"DV","2022-06-01","5:00 - 6:00","10","°A"
"DV","2022-06-01","6:00 - 7:00","96","°A"
"DV","2022-06-01","7:00 - 8:00","139","°A"
"DV","2022-06-01","8:00 - 9:00","166","°A"
"DV","2022-06-01","9:00 - 10:00","157","°A"
"DV","2022-06-01","10:00 - 11:00","195","°A"
"DV","2022-06-01","11:00 - 12:00","354","°A"
"DV","2022-06-01","12:00 - 13:00","355","°A"
"DV","2022-06-01","13:00 - 14:00","36","°A"
"DV","2022-06-01","14:00 - 15:00","26","°A"
"DV","2022-06-01","15:00 - 16:00","23","°A"
"DV","2022-06-01","16:00 - 17:00","278","°A"
"DV","2022-06-01","17:00 - 18:00","266","°A"
"DV","2022-06-01","18:00 - 19:00","34","°A"
"DV","2022-06-01","19:00 - 20:00","53","°A"
"DV","2022-06-01","20:00 - 21:00","71","°A"
"DV","2022-06-01","21:00 - 22:00","79","°A"
"DV","2022-06-01","22:00 - 23:00","66","°A"
"DV","2022-06-02","23:00 - 0:00","124","°A"
"DV","2022-06-02","0:00 - 1:00","142","°A"
"DV","2022-06-02","1:00 - 2:00","89","°A"
"DV","2022-06-02","2:00 - 3:00","94","°A"
"DV","2022-06-02","3:00 - 4:00","101","°A"
"DV","2022-06-02","4:00 - 5:00","76","°A"
"DV","2022-06-02","5:00 - 6:00","35","°A"
"DV","2022-06-02","6:00 - 7:00","49","°A"
"DV","2022-06-02","7:00 - 8:00","57","°A"
"DV","2022-06-02","8:00 - 9:00","78","°A"
"DV","2022-06-02","9:00 - 10:00","50","°A"
"DV","2022-06-02","10:00 - 11:00","356","°A"
"DV","2022-06-02","11:00 - 12:00","60","°A"
"DV","2022-06-02","12:00 - 13:00","9","°A"
"DV","2022-06-02","13:00 - 14:00","354","°A"
"DV","2022-06-02","14:00 - 15:00","57","°A"
"DV","2022-06-02","15:00 - 16:00","60","°A"
"DV","2022-06-02","16:00 - 17:00","59","°A"
"DV","2022-06-02","17:00 - 18:00","62","°A"
"DV","2022-06-02","18:00 - 19:00","68","°A"
"DV","2022-06-02","19:00 - 20:00","67","°A"
