Fecha,Hora,PM25,WD,WS,TMP,PM25_t1,doy,dow
2022-04-11,1,6,187,1.2,18.77,11.0,101,0
2022-04-11,2,3,142,1.0,17.79,6.0,101,0
2022-04-11,3,3,115,0.9,16.8,3.0,101,0
2022-04-11,4,4,121,1.6,16.16,3.0,101,0
2022-04-11,5,3,134,1.1,15.32,4.0,101,0
2022-04-11,6,8,110,2.2,14.04,3.0,101,0
2022-04-11,7,9,113,2.6,13.04,8.0,101,0
2022-04-11,8,18,122,1.9,13.9,9.0,101,0
2022-04-11,13,2,112,3.2,24.42,6.0,101,0
2022-04-11,14,1,123,3.1,26.09,2.0,101,0
2022-04-11,17,2,134,2.9,28.21,2.0,101,0
2022-04-11,22,2,191,1.1,22.41,1.0,101,0
2022-04-11,23,5,231,1.8,21.2,2.0,101,0
2022-04-12,0,4,200,1.2,20.1,5.0,102,1
2022-04-12,1,2,109,2.2,19.43,4.0,102,1
2022-04-12,2,1,105,1.9,18.95,2.0,102,1
2022-04-12,3,6,121,1.2,17.44,1.0,102,1
2022-04-12,4,5,111,1.3,16.81,6.0,102,1
2022-04-12,5,5,80,1.5,16.56,5.0,102,1
2022-04-12,6,5,89,2.0,16.08,5.0,102,1
2022-04-12,7,18,98,2.2,15.77,5.0,102,1
2022-04-12,8,3,102,2.1,15.95,18.0,102,1
2022-04-12,9,19,115,1.5,17.88,3.0,102,1
2022-04-12,10,6,133,1.9,20.58,19.0,102,1
2022-04-12,11,5,143,1.9,22.45,6.0,102,1
2022-04-12,12,3,191,2.8,23.92,5.0,102,1
2022-04-12,13,5,210,4.6,24.94,3.0,102,1
2022-04-12,14,4,216,5.2,25.81,5.0,102,1
2022-04-12,15,2,213,4.5,25.66,4.0,102,1
2022-04-12,18,6,172,3.6,26.2,1.0,102,1
2022-04-12,19,6,142,2.1,25.27,6.0,102,1
2022-04-12,20,5,147,1.2,22.09,6.0,102,1
2022-04-12,21,2,202,2.5,21.48,5.0,102,1
2022-04-13,0,1,128,1.0,19.84,1.0,103,2
2022-04-13,3,4,117,1.2,17.05,3.0,103,2
2022-04-13,4,5,107,1.5,16.64,4.0,103,2
2022-04-13,5,6,109,1.8,14.93,5.0,103,2
2022-04-13,6,28,84,1.0,14.87,6.0,103,2
2022-04-13,7,7,101,0.9,14.19,28.0,103,2
2022-04-13,8,11,109,1.1,14.89,7.0,103,2
2022-04-13,9,23,166,1.3,18.07,11.0,103,2
2022-04-13,10,13,203,2.4,20.42,23.0,103,2
2022-04-13,11,11,217,4.4,23.12,13.0,103,2
2022-04-13,12,6,208,3.6,24.63,11.0,103,2
2022-04-13,13,2,208,2.4,25.59,6.0,103,2
2022-04-13,14,1,158,1.8,26.84,2.0,103,2
2022-04-13,23,15,163,0.8,20.3,7.0,103,2
2022-04-14,0,8,29,0.5,18.77,15.0,104,3
2022-04-14,1,6,288,1.1,19.17,8.0,104,3
2022-04-14,2,6,217,1.4,19.27,6.0,104,3
2022-04-14,3,3,356,0.8,15.4,6.0,104,3
2022-04-14,4,6,288,1.1,14.95,3.0,104,3
2022-04-14,5,21,294,0.9,14.15,6.0,104,3
2022-04-14,6,23,292,0.7,13.3,21.0,104,3
2022-04-14,7,27,232,1.2,11.93,23.0,104,3
2022-04-14,8,25,260,0.6,12.87,27.0,104,3
2022-04-14,9,27,139,0.8,17.17,25.0,104,3
2022-04-14,10,25,125,0.8,20.54,27.0,104,3
2022-04-14,11,17,100,1.8,23.47,25.0,104,3
2022-04-14,12,7,157,2.5,25.68,17.0,104,3
2022-04-14,13,8,160,2.3,26.94,7.0,104,3
2022-04-14,14,6,137,2.6,27.9,8.0,104,3
2022-04-14,15,6,111,3.5,28.92,6.0,104,3
2022-04-14,16,5,132,2.9,29.48,6.0,104,3
2022-04-14,17,2,131,2.9,29.81,5.0,104,3
2022-04-14,18,1,127,2.4,29.5,2.0,104,3
2022-04-14,19,3,146,1.7,28.19,1.0,104,3
2022-04-14,20,2,155,1.0,26.25,3.0,104,3
2022-04-14,21,1,142,0.7,24.57,2.0,104,3
2022-04-14,22,6,103,0.9,22.98,1.0,104,3
2022-04-14,23,8,90,1.0,21.91,6.0,104,3
2022-04-15,0,8,94,0.7,21.45,8.0,105,4
2022-04-15,1,17,67,0.9,20.11,8.0,105,4
2022-04-15,2,13,52,1.4,20.0,17.0,105,4
2022-04-15,3,9,347,0.6,19.4,13.0,105,4
2022-04-15,4,21,40,1.2,16.32,9.0,105,4
2022-04-15,5,15,10,0.9,15.29,21.0,105,4
2022-04-15,6,25,272,0.9,13.65,15.0,105,4
