Fecha,Hora,PM25
2022-04-11,0,11
2022-04-11,1,6
2022-04-11,2,3
2022-04-11,3,3
2022-04-11,4,4
2022-04-11,5,3
2022-04-11,6,8
2022-04-11,7,9
2022-04-11,8,18
2022-04-11,12,6
2022-04-11,13,2
2022-04-11,14,1
2022-04-11,15,0
2022-04-11,16,2
2022-04-11,17,2
2022-04-11,18,-1
2022-04-11,19,-2
2022-04-11,20,-1
2022-04-11,21,1
2022-04-11,22,2
2022-04-11,23,5
2022-04-12,0,4
2022-04-12,1,2
2022-04-12,2,1
2022-04-12,3,6
2022-04-12,4,5
2022-04-12,5,5
2022-04-12,6,5
2022-04-12,7,18
2022-04-12,8,3
2022-04-12,9,19
2022-04-12,10,6
2022-04-12,11,5
2022-04-12,12,3
2022-04-12,13,5
2022-04-12,14,4
2022-04-12,15,2
2022-04-12,16,0
2022-04-12,17,1
2022-04-12,18,6
2022-04-12,19,6
2022-04-12,20,5
2022-04-12,21,2
2022-04-12,22,0
2022-04-12,23,1
2022-04-13,0,1
2022-04-13,1,0
2022-04-13,2,3
2022-04-13,3,4
2022-04-13,4,5
2022-04-13,5,6
2022-04-13,6,28
2022-04-13,7,7
2022-04-13,8,11
2022-04-13,9,23
2022-04-13,10,13
2022-04-13,11,11
2022-04-13,12,6
2022-04-13,13,2
2022-04-13,14,1
2022-04-13,15,0
2022-04-13,16,0
2022-04-13,17,-2
2022-04-13,18,-4
2022-04-13,19,0
2022-04-13,20,1
2022-04-13,21,0
2022-04-13,22,7
2022-04-13,23,15
2022-04-14,0,8
2022-04-14,1,6
2022-04-14,2,6
2022-04-14,3,3
2022-04-14,4,6
2022-04-14,5,21
2022-04-14,6,23
2022-04-14,7,27
2022-04-14,8,25
2022-04-14,9,27
2022-04-14,10,25
2022-04-14,11,17
2022-04-14,12,7
2022-04-14,13,8
2022-04-14,14,6
2022-04-14,15,6
2022-04-14,16,5
2022-04-14,17,2
2022-04-14,18,1
2022-04-14,19,3
2022-04-14,20,2
2022-04-14,21,1
2022-04-14,22,6
2022-04-14,23,8
2022-04-15,0,8
2022-04-15,1,17
2022-04-15,2,13
2022-04-15,3,9
2022-04-15,4,21
2022-04-15,5,15
2022-04-15,6,25
2022-04-15,7,18
2022-04-15,8,29
2022-04-15,9,23
2022-04-15,10,16
2022-04-15,11,9
2022-04-15,12,8
2022-04-15,13,6
2022-04-15,14,5
2022-04-15,15,2
2022-04-15,16,3
2022-04-15,17,1
2022-04-15,18,-2
2022-04-15,19,-3
2022-04-15,20,-3
2022-04-15,21,-1
