Fecha,Hora,WS
2022-04-11,0,0.9
2022-04-11,1,1.2
2022-04-11,2,1.0
2022-04-11,3,0.9
2022-04-11,4,1.6
2022-04-11,5,1.1
2022-04-11,6,2.2
2022-04-11,7,2.6
2022-04-11,8,1.9
2022-04-11,12,2.6
2022-04-11,13,3.2
2022-04-11,14,3.1
2022-04-11,15,2.6
2022-04-11,16,2.9
2022-04-11,17,2.9
2022-04-11,18,2.7
2022-04-11,19,1.6
2022-04-11,20,1.0
2022-04-11,21,1.0
2022-04-11,22,1.1
2022-04-11,23,1.8
2022-04-12,0,1.2
2022-04-12,1,2.2
2022-04-12,2,1.9
2022-04-12,3,1.2
2022-04-12,4,1.3
2022-04-12,5,1.5
2022-04-12,6,2.0
2022-04-12,7,2.2
2022-04-12,8,2.1
2022-04-12,9,1.5
2022-04-12,10,1.9
2022-04-12,11,1.9
2022-04-12,12,2.8
2022-04-12,13,4.6
2022-04-12,14,5.2
2022-04-12,15,4.5
2022-04-12,16,2.3
2022-04-12,17,2.2
2022-04-12,18,3.6
2022-04-12,19,2.1
2022-04-12,20,1.2
2022-04-12,21,2.5
2022-04-12,22,1.4
2022-04-12,23,1.2
2022-04-13,0,1.0
2022-04-13,1,1.4
2022-04-13,2,1.1
2022-04-13,3,1.2
2022-04-13,4,1.5
2022-04-13,5,1.8
2022-04-13,6,1.0
2022-04-13,7,0.9
2022-04-13,8,1.1
2022-04-13,9,1.3
2022-04-13,10,2.4
2022-04-13,11,4.4
2022-04-13,12,3.6
2022-04-13,13,2.4
2022-04-13,14,1.8
2022-04-13,15,2.1
2022-04-13,16,1.8
2022-04-13,17,1.7
2022-04-13,18,1.1
2022-04-13,19,1.0
2022-04-13,20,1.1
2022-04-13,21,1.7
2022-04-13,22,2.5
2022-04-13,23,0.8
2022-04-14,0,0.5
2022-04-14,1,1.1
2022-04-14,2,1.4
2022-04-14,3,0.8
2022-04-14,4,1.1
2022-04-14,5,0.9
2022-04-14,6,0.7
2022-04-14,7,1.2
2022-04-14,8,0.6
2022-04-14,9,0.8
2022-04-14,10,0.8
2022-04-14,11,1.8
2022-04-14,12,2.5
2022-04-14,13,2.3
2022-04-14,14,2.6
2022-04-14,15,3.5
2022-04-14,16,2.9
2022-04-14,17,2.9
2022-04-14,18,2.4
2022-04-14,19,1.7
2022-04-14,20,1.0
2022-04-14,21,0.7
2022-04-14,22,0.9
2022-04-14,23,1.0
2022-04-15,0,0.7
2022-04-15,1,0.9
2022-04-15,2,1.4
2022-04-15,3,0.6
2022-04-15,4,1.2
2022-04-15,5,0.9
2022-04-15,6,0.9
2022-04-15,7,0.9
2022-04-15,8,0.8
2022-04-15,9,1.2
2022-04-15,10,1.4
2022-04-15,11,2.2
2022-04-15,12,3.0
2022-04-15,13,3.8
2022-04-15,14,3.5
2022-04-15,15,2.8
2022-04-15,16,3.6
2022-04-15,17,2.5
2022-04-15,18,2.6
2022-04-15,19,2.4
2022-04-15,20,1.2
2022-04-15,21,1.1
2022-04-15,22,1.5
2022-04-15,23,1.1
2022-04-16,1,0.9
2022-04-16,2,0.8
2022-04-16,3,0.9
2022-04-16,4,0.5
2022-04-16,5,1.1
2022-04-16,6,0.8
2022-04-16,7,1.1
2022-04-16,8,0.5
2022-04-16,9,1.1
2022-04-16,10,1.5
2022-04-16,11,1.7
2022-04-16,12,2.2
2022-04-16,13,2.1
2022-04-16,14,2.2
2022-04-16,15,2.3
2022-04-16,16,1.9
2022-04-16,17,2.0
2022-04-16,18,1.9
2022-04-16,19,1.8
2022-04-16,20,1.6
2022-04-16,21,1.0
2022-04-16,22,1.3
2022-04-16,23,1.3
2022-04-17,0,0.9
2022-04-17,1,1.4
2022-04-17,2,0.9
2022-04-17,3,1.0
2022-04-17,4,0.9
2022-04-17,5,1.0
2022-04-17,6,0.6
2022-04-17,7,0.8
2022-04-17,8,1.1
2022-04-17,9,0.7
2022-04-17,10,0.8
2022-04-17,11,1.2
2022-04-17,12,1.3
2022-04-17,13,1.3
2022-04-17,14,1.6
2022-04-17,15,1.6
2022-04-17,16,1.5
2022-04-17,17,1.0
2022-04-17,18,0.8
2022-04-17,19,0.7
2022-04-17,20,0.8
2022-04-17,23,1.0
2022-04-18,0,0.6
2022-04-18,1,1.9
2022-04-18,2,2.1
2022-04-18,3,2.3
2022-04-18,4,2.5
2022-04-18,5,2.1
2022-04-18,6,2.0
2022-04-18,7,1.7
2022-04-18,8,1.8
2022-04-18,9,1.5
2022-04-18,10,1.9
2022-04-18,11,1.8
2022-04-18,12,1.5
2022-04-18,13,1.5
2022-04-18,14,1.6
2022-04-18,15,1.7
2022-04-18,16,3.4
2022-04-18,17,1.4
2022-04-18,18,2.7
2022-04-18,19,2.8
2022-04-18,20,2.4
2022-04-18,21,2.1
2022-04-18,22,3.3
2022-04-18,23,3.2
2022-04-19,0,2.1
2022-04-19,1,1.1
2022-04-19,2,1.1
2022-04-19,3,2.1
2022-04-19,4,1.7
2022-04-19,5,1.4
2022-04-19,6,1.1
2022-04-19,7,0.9
2022-04-19,8,0.8
2022-04-19,9,1.2
2022-04-19,10,2.2
2022-04-19,11,3.0
2022-04-19,12,2.6
2022-04-19,13,2.1
2022-04-19,14,1.9
2022-04-19,15,2.3
2022-04-19,16,1.6
2022-04-19,17,2.3
2022-04-19,18,2.2
2022-04-19,19,2.3
2022-04-19,20,1.7
2022-04-19,21,3.6
2022-04-19,22,4.4
2022-04-19,23,2.4
2022-04-20,0,1.2
2022-04-20,1,1.7
2022-04-20,2,2.1
2022-04-20,3,2.2
2022-04-20,4,2.1
2022-04-20,5,2.1
2022-04-20,6,2.6
2022-04-20,7,2.1
2022-04-20,8,2.5
2022-04-20,9,3.1
2022-04-20,10,2.4
2022-04-20,11,2.2
2022-04-20,12,2.5
2022-04-20,13,3.3
2022-04-20,14,2.8
2022-04-20,15,2.5
2022-04-20,16,2.5
2022-04-20,17,2.4
2022-04-20,18,3.5
2022-04-20,19,2.9
2022-04-20,20,2.5
2022-04-20,21,1.7
2022-04-20,22,1.0
2022-04-20,23,1.7
2022-04-21,0,1.0
2022-04-21,1,2.0
2022-04-21,2,1.0
2022-04-21,3,0.9
2022-04-21,4,1.6
2022-04-21,5,1.6
2022-04-21,6,1.3
2022-04-21,7,1.0
2022-04-21,8,1.5
2022-04-21,9,1.1
2022-04-21,10,0.9
2022-04-21,11,1.1
2022-04-21,12,1.3
2022-04-21,13,1.4
2022-04-21,14,1.4
2022-04-21,15,1.8
2022-04-21,16,1.9
2022-04-21,17,1.5
2022-04-21,18,1.2
2022-04-21,19,1.6
2022-04-21,20,5.6
2022-04-21,21,4.7
2022-04-21,22,4.4
2022-04-21,23,4.0
2022-04-22,0,2.4
2022-04-22,1,1.1
2022-04-22,2,1.1
2022-04-22,3,1.1
2022-04-22,4,1.5
2022-04-22,5,0.7
