"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2022-06-01","23:00 - 0:00","0","µg/m³"
"PM2.5","2022-06-02","23:00 - 0:00","12","µg/m³"
"PM2.5","2022-06-02","0:00 - 1:00","11","µg/m³"
"PM2.5","2022-06-02","1:00 - 2:00","11","µg/m³"
"PM2.5","2022-06-02","2:00 - 3:00","9","µg/m³"
"PM2.5","2022-06-02","3:00 - 4:00","10","µg/m³"
"PM2.5","2022-06-02","4:00 - 5:00","9","µg/m³"
"PM2.5","2022-06-02","5:00 - 6:00","11","µg/m³"
"PM2.5","2022-06-02","6:00 - 7:00","14","µg/m³"
"PM2.5","2022-06-02","7:00 - 8:00","14","µg/m³"
"PM2.5","2022-06-02","8:00 - 9:00","18","µg/m³"
"PM2.5","2022-06-02","9:00 - 10:00","14","µg/m³"
"PM2.5","2022-06-02","10:00 - 11:00","16","µg/m³"
"PM2.5","2022-06-02","11:00 - 12:00","13","µg/m³"
"PM2.5","2022-06-02","12:00 - 13:00","11","µg/m³"
"PM2.5","2022-06-04","23:00 - 0:00","12","µg/m³"
"PM2.5","2022-06-04","0:00 - 1:00","11","µg/m³"
"PM2.5","2022-06-04","1:00 - 2:00","8","µg/m³"
"PM2.5","2022-06-04","2:00 - 3:00","11","µg/m³"
"PM2.5","2022-06-04","3:00 - 4:00","9","µg/m³"
"PM2.5","2022-06-04","4:00 - 5:00","7","µg/m³"
"PM2.5","2022-06-04","5:00 - 6:00","7","µg/m³"
"PM2.5","2022-06-04","6:00 - 7:00","8","µg/m³"
"PM2.5","2022-06-04","7:00 - 8:00","12","µg/m³"
"PM2.5","2022-06-04","8:00 - 9:00","12","µg/m³"
"PM2.5","2022-06-04","9:00 - 10:00","12","µg/m³"
"PM2.5","2022-06-04","10:00 - 11:00","10","µg/m³"
"PM2.5","2022-06-04","11:00 - 12:00","15","µg/m³"
"PM2.5","2022-06-04","12:00 - 13:00","15","µg/m³"
"PM2.5","2022-06-04","13:00 - 14:00","11","µg/m³"
"PM2.5","2022-06-04","14:00 - 15:00","6","µg/m³"
"PM2.5","2022-06-04","15:00 - 16:00","3","µg/m³"
"PM2.5","2022-06-04","16:00 - 17:00","2","µg/m³"
"PM2.5","2022-06-04","17:00 - 18:00","1","µg/m³"
"PM2.5","2022-06-04","18:00 - 19:00","3","µg/m³"
"PM2.5","2022-06-04","19:00 - 20:00","9","µg/m³"
"PM2.5","2022-06-04","20:00 - 21:00","7","µg/m³"
"PM2.5","2022-06-04","21:00 - 22:00","16","µg/m³"
"PM2.5","2022-06-04","22:00 - 23:00","11","µg/m³"
"PM2.5","2022-06-05","23:00 - 0:00","10","µg/m³"
"PM2.5","2022-06-05","0:00 - 1:00","10","µg/m³"
"PM2.5","2022-06-05","1:00 - 2:00","16","µg/m³"
"PM2.5","2022-06-05","2:00 - 3:00","16","µg/m³"
"PM2.5","2022-06-05","3:00 - 4:00","17","µg/m³"
"PM2.5","2022-06-05","4:00 - 5:00","17","µg/m³"
"PM2.5","2022-06-05","5:00 - 6:00","26","µg/m³"
"PM2.5","2022-06-05","6:00 - 7:00","13","µg/m³"
"PM2.5","2022-06-05","7:00 - 8:00","6","µg/m³"
"PM2.5","2022-06-05","8:00 - 9:00","3","µg/m³"
"PM2.5","2022-06-05","9:00 - 10:00","9","µg/m³"
