"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2022-08-01","23:00 - 0:00","130","°A"
"DV","2022-08-01","0:00 - 1:00","143","°A"
"DV","2022-08-01","1:00 - 2:00","124","°A"
"DV","2022-08-01","2:00 - 3:00","42","°A"
"DV","2022-08-01","3:00 - 4:00","28","°A"
"DV","2022-08-01","4:00 - 5:00","45","°A"
"DV","2022-08-01","5:00 - 6:00","179","°A"
"DV","2022-08-01","6:00 - 7:00","216","°A"
"DV","2022-08-01","7:00 - 8:00","205","°A"
"DV","2022-08-01","8:00 - 9:00","300","°A"
"DV","2022-08-01","9:00 - 10:00","241","°A"
"DV","2022-08-01","10:00 - 11:00","167","°A"
"DV","2022-08-01","11:00 - 12:00","154","°A"
"DV","2022-08-01","12:00 - 13:00","180","°A"
"DV","2022-08-01","13:00 - 14:00","202","°A"
"DV","2022-08-01","14:00 - 15:00","187","°A"
"DV","2022-08-01","15:00 - 16:00","140","°A"
"DV","2022-08-01","16:00 - 17:00","124","°A"
"DV","2022-08-01","17:00 - 18:00","128","°A"
"DV","2022-08-01","18:00 - 19:00","139","°A"
"DV","2022-08-01","19:00 - 20:00","66","°A"
"DV","2022-08-01","20:00 - 21:00","72","°A"
"DV","2022-08-01","21:00 - 22:00","128","°A"
"DV","2022-08-01","22:00 - 23:00","146","°A"
"DV","2022-08-02","23:00 - 0:00","246","°A"
"DV","2022-08-02","0:00 - 1:00","203","°A"
"DV","2022-08-02","1:00 - 2:00","200","°A"
"DV","2022-08-02","2:00 - 3:00","210","°A"
"DV","2022-08-02","3:00 - 4:00","193","°A"
"DV","2022-08-02","4:00 - 5:00","171","°A"
"DV","2022-08-02","5:00 - 6:00","172","°A"
"DV","2022-08-02","6:00 - 7:00","140","°A"
"DV","2022-08-02","7:00 - 8:00","100","°A"
"DV","2022-08-02","8:00 - 9:00","145","°A"
"DV","2022-08-02","9:00 - 10:00","132","°A"
"DV","2022-08-02","10:00 - 11:00","91","°A"
"DV","2022-08-02","11:00 - 12:00","136","°A"
"DV","2022-08-02","12:00 - 13:00","171","°A"
"DV","2022-08-02","13:00 - 14:00","186","°A"
"DV","2022-08-02","14:00 - 15:00","203","°A"
"DV","2022-08-02","15:00 - 16:00","180","°A"
"DV","2022-08-02","16:00 - 17:00","160","°A"
"DV","2022-08-02","17:00 - 18:00","182","°A"
"DV","2022-08-02","18:00 - 19:00","204","°A"
"DV","2022-08-02","19:00 - 20:00","177","°A"
"DV","2022-08-02","20:00 - 21:00","177","°A"
"DV","2022-08-02","21:00 - 22:00","112","°A"
"DV","2022-08-02","22:00 - 23:00","92","°A"
"DV","2022-08-03","23:00 - 0:00","108","°A"
"DV","2022-08-03","0:00 - 1:00","49","°A"
"DV","2022-08-03","1:00 - 2:00","108","°A"
"DV","2022-08-03","2:00 - 3:00","96","°A"
"DV","2022-08-03","3:00 - 4:00","24","°A"
