"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2022-05-01","23:00 - 0:00","1.097","m/s"
"VV","2022-05-01","0:00 - 1:00","0.921","m/s"
"VV","2022-05-01","1:00 - 2:00","1.558","m/s"
"VV","2022-05-01","2:00 - 3:00","0.777","m/s"
"VV","2022-05-01","3:00 - 4:00","0.134","m/s"
"VV","2022-05-01","4:00 - 5:00","0.471","m/s"
"VV","2022-05-01","5:00 - 6:00","0.105","m/s"
"VV","2022-05-01","6:00 - 7:00","0.429","m/s"
"VV","2022-05-01","7:00 - 8:00","0.243","m/s"
"VV","2022-05-01","8:00 - 9:00","0.241","m/s"
"VV","2022-05-01","9:00 - 10:00","1.267","m/s"
"VV","2022-05-01","10:00 - 11:00","1.643","m/s"
"VV","2022-05-01","11:00 - 12:00","1.849","m/s"
"VV","2022-05-01","12:00 - 13:00","2.371","m/s"
"VV","2022-05-01","13:00 - 14:00","2.808","m/s"
"VV","2022-05-01","14:00 - 15:00","2.871","m/s"
"VV","2022-05-01","15:00 - 16:00","2.533","m/s"
"VV","2022-05-01","16:00 - 17:00","2.369","m/s"
"VV","2022-05-01","17:00 - 18:00","2.248","m/s"
"VV","2022-05-01","18:00 - 19:00","2.545","m/s"
"VV","2022-05-01","19:00 - 20:00","2.134","m/s"
"VV","2022-05-01","20:00 - 21:00","0.970","m/s"
"VV","2022-05-01","21:00 - 22:00","0.375","m/s"
"VV","2022-05-01","22:00 - 23:00","0.173","m/s"
"VV","2022-05-02","23:00 - 0:00","0.685","m/s"
"VV","2022-05-02","0:00 - 1:00","0.921","m/s"
"VV","2022-05-02","1:00 - 2:00","1.098","m/s"
"VV","2022-05-02","2:00 - 3:00","1.332","m/s"
"VV","2022-05-02","3:00 - 4:00","1.465","m/s"
"VV","2022-05-02","4:00 - 5:00","1.110","m/s"
"VV","2022-05-02","5:00 - 6:00","0.411","m/s"
"VV","2022-05-02","6:00 - 7:00","0.154","m/s"
"VV","2022-05-02","7:00 - 8:00","0.377","m/s"
"VV","2022-05-02","8:00 - 9:00","0.966","m/s"
"VV","2022-05-02","9:00 - 10:00","2.496","m/s"
"VV","2022-05-02","10:00 - 11:00","2.343","m/s"
"VV","2022-05-02","11:00 - 12:00","2.325","m/s"
"VV","2022-05-02","12:00 - 13:00","2.572","m/s"
"VV","2022-05-02","13:00 - 14:00","2.641","m/s"
"VV","2022-05-02","14:00 - 15:00","2.653","m/s"
"VV","2022-05-02","15:00 - 16:00","2.508","m/s"
"VV","2022-05-02","16:00 - 17:00","1.863","m/s"
"VV","2022-05-02","17:00 - 18:00","2.475","m/s"
"VV","2022-05-02","18:00 - 19:00","1.998","m/s"
"VV","2022-05-02","19:00 - 20:00","1.963","m/s"
"VV","2022-05-02","20:00 - 21:00","1.417","m/s"
"VV","2022-05-02","21:00 - 22:00","1.294","m/s"
"VV","2022-05-02","22:00 - 23:00","0.479","m/s"
"VV","2022-05-03","23:00 - 0:00","0.165","m/s"
"VV","2022-05-03","0:00 - 1:00","1.918","m/s"
"VV","2022-05-03","1:00 - 2:00","1.330","m/s"
"VV","2022-05-03","2:00 - 3:00","1.260","m/s"
"VV","2022-05-03","3:00 - 4:00","1.150","m/s"
"VV","2022-05-03","4:00 - 5:00","0.769","m/s"
"VV","2022-05-03","5:00 - 6:00","0.288","m/s"
"VV","2022-05-03","6:00 - 7:00","0.338","m/s"
"VV","2022-05-03","7:00 - 8:00","0.384","m/s"
"VV","2022-05-03","8:00 - 9:00","0.307","m/s"
"VV","2022-05-03","9:00 - 10:00","0.892","m/s"
"VV","2022-05-03","10:00 - 11:00","0.932","m/s"
"VV","2022-05-03","11:00 - 12:00","1.266","m/s"
"VV","2022-05-03","12:00 - 13:00","1.229","m/s"
"VV","2022-05-03","13:00 - 14:00","1.355","m/s"
"VV","2022-05-03","14:00 - 15:00","2.102","m/s"
"VV","2022-05-03","15:00 - 16:00","2.555","m/s"
"VV","2022-05-03","16:00 - 17:00","2.644","m/s"
"VV","2022-05-03","17:00 - 18:00","2.059","m/s"
"VV","2022-05-03","18:00 - 19:00","2.498","m/s"
