Fecha,Hora,PM25,WD,WS,TMP,PM25_t1,doy,dow
2022-01-01,1,102,158,1.139,12.18,54.0,1,5
2022-01-01,2,43,157,1.506,12.02,102.0,1,5
2022-01-01,3,36,139,0.798,11.45,43.0,1,5
2022-01-01,4,37,141,0.469,9.76,36.0,1,5
2022-01-01,5,36,138,0.276,8.42,37.0,1,5
2022-01-01,6,28,122,0.198,7.81,36.0,1,5
2022-01-01,7,33,110,0.233,7.17,28.0,1,5
2022-01-01,8,49,133,0.548,6.61,33.0,1,5
2022-01-01,9,26,156,0.886,8.15,49.0,1,5
2022-01-01,10,16,164,2.111,12.29,26.0,1,5
2022-01-01,11,9,168,2.498,15.28,16.0,1,5
2022-01-01,12,11,177,4.346,18.17,9.0,1,5
2022-01-01,13,9,185,4.461,20.4,11.0,1,5
2022-01-01,14,14,190,3.436,22.41,9.0,1,5
2022-01-01,15,9,235,4.486,23.03,14.0,1,5
2022-01-01,16,12,250,5.149,23.12,9.0,1,5
2022-01-01,17,7,240,5.143,23.18,12.0,1,5
2022-01-01,18,5,226,3.998,22.62,7.0,1,5
2022-01-01,19,7,219,2.035,20.86,5.0,1,5
2022-01-01,20,5,237,1.306,19.39,7.0,1,5
2022-01-01,21,2,223,1.024,17.58,5.0,1,5
2022-01-01,22,4,193,0.645,16.03,2.0,1,5
2022-01-01,23,5,98,0.588,15.28,4.0,1,5
2022-01-02,0,27,67,0.466,13.61,5.0,2,6
2022-01-02,1,24,89,0.487,12.23,27.0,2,6
2022-01-02,2,19,38,1.367,11.08,24.0,2,6
2022-01-02,3,34,34,1.441,9.67,19.0,2,6
2022-01-02,4,41,38,0.581,7.86,34.0,2,6
2022-01-02,5,18,37,1.307,6.44,41.0,2,6
2022-01-02,6,17,75,0.922,5.53,18.0,2,6
2022-01-02,7,16,39,1.707,5.08,17.0,2,6
2022-01-02,8,12,50,1.94,4.77,16.0,2,6
2022-01-02,9,11,45,2.046,5.79,12.0,2,6
2022-01-02,10,15,170,3.489,9.61,11.0,2,6
2022-01-02,11,8,173,4.381,14.58,15.0,2,6
2022-01-02,12,6,234,5.005,17.51,8.0,2,6
2022-01-02,13,4,230,5.004,19.41,6.0,2,6
2022-01-02,14,11,173,4.144,21.02,4.0,2,6
2022-01-02,15,8,116,3.502,22.15,11.0,2,6
2022-01-02,16,9,131,3.32,22.89,8.0,2,6
2022-01-02,17,12,116,2.807,23.28,9.0,2,6
2022-01-02,18,11,111,2.617,22.93,12.0,2,6
2022-01-02,19,14,161,1.792,20.26,11.0,2,6
2022-01-02,20,11,37,1.441,18.25,14.0,2,6
2022-01-02,21,15,34,2.178,17.51,11.0,2,6
2022-01-02,22,16,178,2.078,16.06,15.0,2,6
2022-01-02,23,12,94,2.57,15.18,16.0,2,6
2022-01-03,0,11,129,2.248,13.5,12.0,3,0
2022-01-03,1,12,140,2.592,11.64,11.0,3,0
2022-01-03,2,12,65,3.406,10.95,12.0,3,0
2022-01-03,3,13,118,3.338,9.71,12.0,3,0
2022-01-03,4,13,75,4.055,8.78,13.0,3,0
2022-01-03,5,10,84,3.599,7.84,13.0,3,0
2022-01-03,6,9,89,3.473,7.46,10.0,3,0
2022-01-03,7,17,112,3.152,6.48,9.0,3,0
2022-01-03,8,11,210,2.691,5.94,17.0,3,0
2022-01-03,9,15,213,3.306,6.68,11.0,3,0
2022-01-03,10,19,240,3.192,8.66,15.0,3,0
2022-01-03,11,14,132,2.765,10.94,19.0,3,0
2022-01-03,12,12,89,2.683,13.07,14.0,3,0
2022-01-03,13,13,244,1.927,15.38,12.0,3,0
2022-01-03,14,11,247,2.048,17.47,13.0,3,0
2022-01-03,15,13,226,1.445,19.13,11.0,3,0
2022-01-03,16,21,181,2.492,20.54,13.0,3,0
2022-01-03,17,21,173,2.259,21.14,21.0,3,0
2022-01-03,18,20,178,2.2,21.13,21.0,3,0
2022-01-03,19,14,152,0.768,19.79,20.0,3,0
2022-01-03,20,14,143,0.134,17.68,14.0,3,0
2022-01-03,21,19,166,0.057,15.83,14.0,3,0
2022-01-03,22,28,120,0.33,15.04,19.0,3,0
2022-01-03,23,35,40,0.994,14.1,28.0,3,0
2022-01-04,0,61,40,1.054,13.17,35.0,4,1
2022-01-04,1,45,31,1.161,10.97,61.0,4,1
