Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Aguascalientes (agsc), Aguascalientes
Lat 21.9157 N, Lon 102.319 W, Alt 1868 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,mm,hPa,W/m^2
2023-09-01 00:00:00,17.37,90.3,2.16,4.94,17.8,0.0,818.646,1.191
2023-09-01 01:00:00,17.06,92.36,1.721,3.7,72.9,0.0,819.113,0.91
2023-09-01 02:00:00,16.41,98.62,1.097,2.29,311.1,0.0,819.066,5.718
2023-09-01 03:00:00,16.56,99.16,1.121,2.41,325.7,0.1,818.813,3.555
2023-09-01 04:00:00,16.63,98.73,1.208,2.86,175.1,0.0,818.536,2.733
2023-09-01 05:00:00,16.51,98.78,2.703,4.8,207.1,0.0,818.192,1.062
2023-09-01 06:00:00,16.21,98.73,1.414,3.19,201.1,0.0,817.838,0.708
2023-09-01 07:00:00,16.38,97.45,0.904,1.84,127.1,0.0,818.03,3.4
2023-09-01 08:00:00,16.97,92.49,0.728,1.37,274.3,0.0,818.512,37.304
2023-09-01 09:00:00,17.58,88.73,1.04,2.2,341.0,0.0,819.206,136.331
2023-09-01 10:00:00,18.68,81.56,1.013,2.23,172.7,0.0,819.681,249.513
2023-09-01 11:00:00,19.96,74.41,0.99,2.92,200.1,0.0,819.832,441.905
2023-09-01 12:00:00,21.7,65.06,2.017,4.06,209.2,0.0,819.773,902.433
2023-09-01 13:00:00,22.02,65.59,3.115,6.3,198.5,0.0,819.495,645.538
2023-09-01 14:00:00,23.29,60.07,3.242,6.77,218.7,0.0,818.528,1018.883
2023-09-01 15:00:00,24.63,52.27,2.598,5.86,210.0,0.0,817.872,981.11
2023-09-01 16:00:00,24.68,51.86,2.117,4.99,212.3,0.0,817.24,405.822
2023-09-01 17:00:00,23.52,55.91,3.31,9.52,91.1,0.0,817.254,96.113
2023-09-01 18:00:00,21.32,62.19,3.227,7.5,44.1,0.0,817.313,67.242
2023-09-01 19:00:00,21.11,63.76,1.66,3.07,354.8,0.0,817.386,24.098
2023-09-01 20:00:00,20.79,65.79,1.036,2.54,45.5,0.0,817.819,-0.538
2023-09-01 21:00:00,20.68,66.17,1.79,3.79,354.2,0.0,817.908,-0.924
2023-09-01 22:00:00,20.73,65.35,1.724,3.25,58.6,0.0,818.493,-0.862
2023-09-01 23:00:00,20.15,68.21,1.061,2.46,39.8,0.0,818.987,-1.433
2023-09-02 00:00:00,19.02,77.43,1.168,2.12,359.7,0.0,819.21,-0.754
2023-09-02 01:00:00,18.85,80.01,1.176,2.03,13.0,0.0,819.2,-0.724
2023-09-02 02:00:00,18.24,86.03,1.652,2.87,349.6,0.0,819.199,-0.02
2023-09-02 03:00:00,18.38,84.75,0.919,1.8,4.9,0.0,818.954,-0.448
2023-09-02 04:00:00,18.34,83.87,1.413,2.89,8.2,0.0,819.061,-0.557
2023-09-02 05:00:00,18.18,82.53,1.412,3.44,48.1,0.0,819.258,-0.442
2023-09-02 06:00:00,18.11,74.21,1.077,2.6,180.1,0.0,819.476,-0.629
2023-09-02 07:00:00,16.72,85.48,0.813,1.68,322.1,0.0,819.812,6.699
2023-09-02 08:00:00,17.42,81.52,0.996,1.99,341.8,0.0,820.281,128.761
2023-09-02 09:00:00,18.56,76.9,1.634,3.51,359.1,0.0,820.7,227.323
2023-09-02 10:00:00,20.75,63.84,1.855,3.79,21.0,0.0,820.73,651.658
2023-09-02 11:00:00,22.67,55.25,1.921,4.34,22.4,0.0,820.592,825.203
2023-09-02 12:00:00,23.88,50.69,1.82,4.26,37.2,0.0,820.251,831.538
2023-09-02 13:00:00,25.7,42.68,1.878,4.39,15.8,0.0,819.406,1015.418
2023-09-02 14:00:00,26.21,41.62,2.007,4.69,19.5,0.0,818.584,848.833
2023-09-02 15:00:00,27.67,35.42,2.413,6.21,47.7,0.0,817.716,840.675
2023-09-02 16:00:00,28.32,31.0,2.037,5.67,114.1,0.0,816.845,658.27
2023-09-02 17:00:00,28.56,29.23,2.25,6.23,86.4,0.0,816.269,452.413
2023-09-02 18:00:00,28.47,28.43,2.39,5.75,60.7,0.0,816.081,213.711
2023-09-02 19:00:00,24.61,49.7,5.282,11.76,25.9,0.0,816.735,20.858
