"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2021-11-01","23:00 - 0:00","140","°A"
"DV","2021-11-01","0:00 - 1:00","98","°A"
"DV","2021-11-01","1:00 - 2:00","32","°A"
"DV","2021-11-01","2:00 - 3:00","49","°A"
"DV","2021-11-01","3:00 - 4:00","112","°A"
"DV","2021-11-01","4:00 - 5:00","150","°A"
"DV","2021-11-01","5:00 - 6:00","121","°A"
"DV","2021-11-01","6:00 - 7:00","202","°A"
"DV","2021-11-01","7:00 - 8:00","193","°A"
"DV","2021-11-01","8:00 - 9:00","256","°A"
"DV","2021-11-01","9:00 - 10:00","253","°A"
"DV","2021-11-01","10:00 - 11:00","268","°A"
"DV","2021-11-01","11:00 - 12:00","260","°A"
"DV","2021-11-01","12:00 - 13:00","277","°A"
"DV","2021-11-01","13:00 - 14:00","243","°A"
"DV","2021-11-01","14:00 - 15:00","189","°A"
"DV","2021-11-01","15:00 - 16:00","233","°A"
"DV","2021-11-01","16:00 - 17:00","139","°A"
"DV","2021-11-01","17:00 - 18:00","127","°A"
"DV","2021-11-01","18:00 - 19:00","152","°A"
"DV","2021-11-01","19:00 - 20:00","132","°A"
"DV","2021-11-01","20:00 - 21:00","108","°A"
"DV","2021-11-01","21:00 - 22:00","176","°A"
"DV","2021-11-01","22:00 - 23:00","197","°A"
"DV","2021-11-02","23:00 - 0:00","181","°A"
"DV","2021-11-02","0:00 - 1:00","156","°A"
"DV","2021-11-02","1:00 - 2:00","171","°A"
"DV","2021-11-02","2:00 - 3:00","241","°A"
"DV","2021-11-02","3:00 - 4:00","206","°A"
"DV","2021-11-02","4:00 - 5:00","171","°A"
"DV","2021-11-02","5:00 - 6:00","185","°A"
"DV","2021-11-02","6:00 - 7:00","271","°A"
"DV","2021-11-02","7:00 - 8:00","103","°A"
"DV","2021-11-02","8:00 - 9:00","249","°A"
"DV","2021-11-02","9:00 - 10:00","265","°A"
"DV","2021-11-02","10:00 - 11:00","270","°A"
"DV","2021-11-02","11:00 - 12:00","154","°A"
"DV","2021-11-02","12:00 - 13:00","124","°A"
"DV","2021-11-02","13:00 - 14:00","151","°A"
"DV","2021-11-02","14:00 - 15:00","133","°A"
"DV","2021-11-02","15:00 - 16:00","113","°A"
"DV","2021-11-02","16:00 - 17:00","106","°A"
"DV","2021-11-02","17:00 - 18:00","88","°A"
"DV","2021-11-02","18:00 - 19:00","92","°A"
"DV","2021-11-02","19:00 - 20:00","104","°A"
"DV","2021-11-02","20:00 - 21:00","103","°A"
"DV","2021-11-02","21:00 - 22:00","121","°A"
"DV","2021-11-02","22:00 - 23:00","223","°A"
"DV","2021-11-03","23:00 - 0:00","193","°A"
"DV","2021-11-03","0:00 - 1:00","210","°A"
"DV","2021-11-03","1:00 - 2:00","71","°A"
"DV","2021-11-03","2:00 - 3:00","192","°A"
"DV","2021-11-03","3:00 - 4:00","203","°A"
"DV","2021-11-03","4:00 - 5:00","145","°A"
"DV","2021-11-03","5:00 - 6:00","233","°A"
"DV","2021-11-03","6:00 - 7:00","275","°A"
"DV","2021-11-03","7:00 - 8:00","309","°A"
"DV","2021-11-03","8:00 - 9:00","276","°A"
"DV","2021-11-03","9:00 - 10:00","278","°A"
"DV","2021-11-03","10:00 - 11:00","262","°A"
"DV","2021-11-03","11:00 - 12:00","238","°A"
"DV","2021-11-03","12:00 - 13:00","192","°A"
"DV","2021-11-03","13:00 - 14:00","244","°A"
"DV","2021-11-03","14:00 - 15:00","203","°A"
"DV","2021-11-03","15:00 - 16:00","167","°A"
"DV","2021-11-03","16:00 - 17:00","197","°A"
"DV","2021-11-03","17:00 - 18:00","160","°A"
"DV","2021-11-03","18:00 - 19:00","160","°A"
"DV","2021-11-03","19:00 - 20:00","177","°A"
"DV","2021-11-04","23:00 - 0:00","232","°A"
"DV","2021-11-04","0:00 - 1:00","190","°A"
"DV","2021-11-04","1:00 - 2:00","232","°A"
"DV","2021-11-04","2:00 - 3:00","267","°A"
"DV","2021-11-04","3:00 - 4:00","262","°A"
"DV","2021-11-04","4:00 - 5:00","140","°A"
"DV","2021-11-04","5:00 - 6:00","77","°A"
"DV","2021-11-04","6:00 - 7:00","203","°A"
"DV","2021-11-04","7:00 - 8:00","232","°A"
"DV","2021-11-04","8:00 - 9:00","283","°A"
"DV","2021-11-05","23:00 - 0:00","189","°A"
"DV","2021-11-05","0:00 - 1:00","89","°A"
"DV","2021-11-05","1:00 - 2:00","172","°A"
"DV","2021-11-05","2:00 - 3:00","166","°A"
"DV","2021-11-05","3:00 - 4:00","189","°A"
"DV","2021-11-05","4:00 - 5:00","214","°A"
