"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2021-11-01","23:00 - 0:00","0.160","m/s"
"VV","2021-11-01","0:00 - 1:00","0.169","m/s"
"VV","2021-11-01","1:00 - 2:00","0.125","m/s"
"VV","2021-11-01","2:00 - 3:00","0.133","m/s"
"VV","2021-11-01","3:00 - 4:00","0.205","m/s"
"VV","2021-11-01","4:00 - 5:00","0.199","m/s"
"VV","2021-11-01","5:00 - 6:00","0.323","m/s"
"VV","2021-11-01","6:00 - 7:00","0.113","m/s"
"VV","2021-11-01","7:00 - 8:00","0.436","m/s"
"VV","2021-11-01","8:00 - 9:00","1.309","m/s"
"VV","2021-11-01","9:00 - 10:00","1.677","m/s"
"VV","2021-11-01","10:00 - 11:00","1.538","m/s"
"VV","2021-11-01","11:00 - 12:00","1.396","m/s"
"VV","2021-11-01","12:00 - 13:00","1.569","m/s"
"VV","2021-11-01","13:00 - 14:00","1.458","m/s"
"VV","2021-11-01","14:00 - 15:00","1.214","m/s"
"VV","2021-11-01","15:00 - 16:00","0.850","m/s"
"VV","2021-11-01","16:00 - 17:00","1.026","m/s"
"VV","2021-11-01","17:00 - 18:00","0.732","m/s"
"VV","2021-11-01","18:00 - 19:00","0.371","m/s"
"VV","2021-11-01","19:00 - 20:00","0.685","m/s"
"VV","2021-11-01","20:00 - 21:00","1.161","m/s"
"VV","2021-11-01","21:00 - 22:00","0.747","m/s"
"VV","2021-11-01","22:00 - 23:00","0.335","m/s"
"VV","2021-11-02","23:00 - 0:00","0.464","m/s"
"VV","2021-11-02","0:00 - 1:00","0.870","m/s"
"VV","2021-11-02","1:00 - 2:00","0.256","m/s"
"VV","2021-11-02","2:00 - 3:00","0.283","m/s"
"VV","2021-11-02","3:00 - 4:00","0.274","m/s"
"VV","2021-11-02","4:00 - 5:00","0.226","m/s"
"VV","2021-11-02","5:00 - 6:00","0.104","m/s"
"VV","2021-11-02","6:00 - 7:00","0.523","m/s"
"VV","2021-11-02","7:00 - 8:00","1.109","m/s"
"VV","2021-11-02","8:00 - 9:00","1.255","m/s"
"VV","2021-11-02","9:00 - 10:00","2.117","m/s"
"VV","2021-11-02","10:00 - 11:00","2.087","m/s"
"VV","2021-11-02","11:00 - 12:00","1.774","m/s"
"VV","2021-11-02","12:00 - 13:00","1.456","m/s"
"VV","2021-11-02","13:00 - 14:00","1.379","m/s"
"VV","2021-11-02","14:00 - 15:00","1.297","m/s"
"VV","2021-11-02","15:00 - 16:00","1.822","m/s"
"VV","2021-11-02","16:00 - 17:00","1.730","m/s"
"VV","2021-11-02","17:00 - 18:00","1.167","m/s"
"VV","2021-11-02","18:00 - 19:00","0.642","m/s"
"VV","2021-11-02","19:00 - 20:00","1.067","m/s"
"VV","2021-11-02","20:00 - 21:00","2.372","m/s"
"VV","2021-11-02","21:00 - 22:00","2.102","m/s"
"VV","2021-11-02","22:00 - 23:00","0.891","m/s"
"VV","2021-11-03","23:00 - 0:00","0.742","m/s"
"VV","2021-11-03","0:00 - 1:00","0.446","m/s"
"VV","2021-11-03","1:00 - 2:00","0.301","m/s"
