Fecha,Hora,PM25
2021-01-01,1,41
2021-01-01,2,41
2021-01-01,3,45
2021-01-01,4,30
2021-01-01,5,40
2021-01-01,6,44
2021-01-01,7,55
2021-01-01,8,36
2021-01-01,9,25
2021-01-01,10,37
2021-01-01,11,31
2021-01-01,12,27
2021-01-01,13,35
2021-01-01,14,33
2021-01-01,15,38
2021-01-01,16,28
2021-01-01,17,26
2021-01-01,18,21
2021-01-01,19,13
2021-01-01,20,10
2021-01-01,21,18
2021-01-01,22,20
2021-01-01,23,20
2021-01-02,0,21
2021-01-02,1,24
2021-01-02,2,28
2021-01-02,3,27
2021-01-02,4,28
2021-01-02,5,34
2021-01-02,6,0
2021-01-02,7,0
2021-01-02,8,0
2021-01-02,9,0
2021-01-02,10,0
2021-01-02,11,0
2021-01-02,12,0
2021-01-02,13,0
2021-01-02,14,0
2021-01-02,15,0
2021-01-02,16,0
2021-01-02,17,0
2021-01-02,18,0
2021-01-02,19,0
2021-01-02,20,0
2021-01-02,21,0
2021-01-02,22,0
2021-01-02,23,0
2021-01-03,0,0
2021-01-03,1,0
2021-01-03,2,0
2021-01-03,3,0
2021-01-03,4,0
2021-01-03,5,0
2021-01-03,6,0
2021-01-03,7,0
2021-01-03,8,0
2021-01-03,9,0
2021-01-03,10,0
2021-01-03,11,0
2021-01-03,12,0
2021-01-03,13,48
2021-01-03,14,35
2021-01-03,15,35
2021-01-03,16,34
2021-01-03,17,34
2021-01-03,18,20
2021-01-03,19,17
2021-01-03,20,15
2021-01-03,21,0
2021-01-03,22,0
2021-01-03,23,0
2021-01-04,0,91
2021-01-04,1,0
2021-01-04,2,0
2021-01-04,3,0
2021-01-04,4,0
2021-01-04,5,63
2021-01-04,6,0
2021-01-04,7,62
2021-01-04,8,0
2021-01-04,9,0
2021-01-04,10,0
2021-01-04,11,0
2021-01-04,12,0
2021-01-04,13,0
2021-01-04,14,0
2021-01-04,15,0
2021-01-04,16,0
2021-01-04,17,0
2021-01-04,18,38
2021-01-04,19,0
2021-01-04,20,0
2021-01-04,21,0
2021-01-04,22,0
2021-01-04,23,0
2021-01-05,0,0
2021-01-05,1,0
2021-01-05,2,0
2021-01-05,3,0
2021-01-05,4,95
2021-01-05,5,0
2021-01-05,6,73
2021-01-05,7,57
2021-01-05,8,58
2021-01-05,9,51
2021-01-05,10,0
2021-01-05,11,0
2021-01-05,12,0
2021-01-05,13,67
2021-01-05,14,64
2021-01-05,15,0
2021-01-05,16,0
2021-01-05,17,53
2021-01-05,18,26
2021-01-05,19,30
2021-01-06,0,0
2021-01-06,1,0
2021-01-06,2,74
2021-01-06,3,71
2021-01-06,4,53
2021-01-06,5,0
2021-01-06,6,0
2021-01-06,7,0
2021-01-06,8,0
2021-01-06,9,0
2021-01-06,10,0
2021-01-06,11,0
2021-01-06,12,0
2021-01-06,13,0
2021-01-06,14,0
2021-01-06,15,0
2021-01-06,16,0
2021-01-06,17,0
2021-01-06,18,39
2021-01-06,19,19
2021-01-06,20,24
2021-01-06,21,26
2021-01-06,22,0
2021-01-06,23,0
2021-01-07,0,0
2021-01-07,1,77
2021-01-07,2,33
2021-01-07,3,31
2021-01-07,4,24
2021-01-07,5,23
2021-01-07,6,25
2021-01-07,7,27
2021-01-07,8,26
2021-01-07,9,27
2021-01-07,10,0
2021-01-07,11,0
2021-01-07,12,0
2021-01-07,13,0
2021-01-07,14,0
2021-01-07,15,0
2021-01-07,16,0
2021-01-07,17,0
2021-01-07,18,0
2021-01-07,19,45
2021-01-07,20,0
2021-01-07,21,0
2021-01-07,22,0
2021-01-07,23,0
2021-01-08,0,0
2021-01-08,1,0
2021-01-08,2,0
2021-01-08,3,0
2021-01-08,4,0
2021-01-08,5,0
2021-01-08,6,0
2021-01-08,7,0
2021-01-08,8,0
2021-01-08,9,0
2021-01-08,10,0
2021-01-08,11,0
2021-01-08,12,0
2021-01-08,13,0
2021-01-08,14,0
2021-01-08,15,0
2021-01-08,16,0
2021-01-08,17,0
2021-01-08,18,0
2021-01-08,19,0
2021-01-08,20,0
2021-01-08,21,0
2021-01-08,22,0
2021-01-08,23,0
2021-01-09,0,0
2021-01-09,1,0
2021-01-09,2,0
2021-01-09,3,0
2021-01-09,4,0
2021-01-09,5,0
2021-01-09,6,0
2021-01-09,7,0
2021-01-09,8,0
2021-01-09,9,0
2021-01-09,10,0
2021-01-09,11,0
2021-01-09,12,0
2021-01-09,13,0
2021-01-09,14,0
2021-01-09,15,0
2021-01-09,16,0
2021-01-09,17,0
2021-01-09,18,0
