Fecha,Hora,PM25,WD,WS,TMP,PM25_t1,doy,dow
2021-11-01,1,27,98,0.169,14.67,19.0,305,0
2021-11-01,2,35,32,0.125,13.46,27.0,305,0
2021-11-01,3,20,49,0.133,12.29,35.0,305,0
2021-11-01,4,13,112,0.205,11.66,20.0,305,0
2021-11-01,5,17,150,0.199,11.14,13.0,305,0
2021-11-01,6,8,121,0.323,10.52,17.0,305,0
2021-11-01,7,10,202,0.113,10.19,8.0,305,0
2021-11-01,8,14,193,0.436,10.95,10.0,305,0
2021-11-01,9,27,256,1.309,12.27,14.0,305,0
2021-11-01,10,13,253,1.677,15.07,27.0,305,0
2021-11-01,11,10,268,1.538,18.24,13.0,305,0
2021-11-01,12,10,260,1.396,20.99,10.0,305,0
2021-11-01,13,8,277,1.569,22.7,10.0,305,0
2021-11-01,14,6,243,1.458,24.37,8.0,305,0
2021-11-01,15,5,189,1.214,25.09,6.0,305,0
2021-11-01,16,2,233,0.85,25.22,5.0,305,0
2021-11-01,17,4,139,1.026,25.65,2.0,305,0
2021-11-01,18,7,127,0.732,25.15,4.0,305,0
2021-11-01,19,15,152,0.371,22.57,7.0,305,0
2021-11-01,20,33,132,0.685,21.76,15.0,305,0
2021-11-01,21,24,108,1.161,20.12,33.0,305,0
2021-11-01,22,10,176,0.747,18.94,24.0,305,0
2021-11-01,23,7,197,0.335,17.25,10.0,305,0
2021-11-02,0,5,181,0.464,15.4,7.0,306,1
2021-11-02,1,6,156,0.87,14.68,5.0,306,1
2021-11-02,2,7,171,0.256,13.83,6.0,306,1
2021-11-02,3,10,241,0.283,13.51,7.0,306,1
2021-11-02,4,17,206,0.274,12.91,10.0,306,1
2021-11-02,5,15,171,0.226,11.18,17.0,306,1
2021-11-02,6,12,185,0.104,9.6,15.0,306,1
2021-11-02,7,12,271,0.523,9.06,12.0,306,1
2021-11-02,8,17,103,1.109,10.21,12.0,306,1
2021-11-02,9,18,249,1.255,13.52,17.0,306,1
2021-11-02,10,15,265,2.117,16.68,18.0,306,1
2021-11-02,11,11,270,2.087,19.5,15.0,306,1
2021-11-02,12,6,154,1.774,22.14,11.0,306,1
2021-11-02,13,2,124,1.456,24.1,6.0,306,1
2021-11-02,14,1,151,1.379,25.34,2.0,306,1
2021-11-02,15,1,133,1.297,25.78,1.0,306,1
