Fecha,Hora,WD
2021-01-01,1,203
2021-01-01,2,106
2021-01-01,3,148
2021-01-01,4,149
2021-01-01,5,160
2021-01-01,6,205
2021-01-01,7,163
2021-01-01,8,163
2021-01-01,9,159
2021-01-01,10,178
2021-01-01,11,190
2021-01-01,12,186
2021-01-01,13,176
2021-01-01,14,179
2021-01-01,15,189
2021-01-01,16,195
2021-01-01,17,205
2021-01-01,18,253
2021-01-01,19,240
2021-01-01,20,169
2021-01-01,21,184
2021-01-01,22,180
2021-01-01,23,183
2021-01-02,0,154
2021-01-02,1,200
2021-01-02,2,225
2021-01-02,3,47
2021-01-02,4,45
2021-01-02,5,72
2021-01-02,6,64
2021-01-02,7,118
2021-01-02,8,210
2021-01-02,9,293
2021-01-02,10,278
2021-01-02,11,285
2021-01-02,12,273
2021-01-02,13,237
2021-01-02,14,178
2021-01-02,15,162
2021-01-02,16,171
2021-01-02,17,188
2021-01-02,18,159
2021-01-02,19,87
2021-01-02,20,57
2021-01-02,21,174
2021-01-02,22,123
2021-01-02,23,103
2021-01-03,0,61
2021-01-03,1,17
2021-01-03,2,51
2021-01-03,3,137
2021-01-03,4,111
2021-01-03,5,212
2021-01-03,6,11
2021-01-03,7,225
2021-01-03,8,87
2021-01-03,9,267
2021-01-03,10,290
2021-01-03,11,220
2021-01-03,12,182
2021-01-03,13,170
2021-01-03,14,197
2021-01-03,15,195
2021-01-03,16,190
2021-01-03,17,236
2021-01-03,18,284
2021-01-03,19,245
2021-01-03,20,106
2021-01-03,21,76
2021-01-03,22,74
2021-01-03,23,93
2021-01-04,0,82
2021-01-04,1,305
2021-01-04,2,211
2021-01-04,3,171
2021-01-04,4,153
2021-01-04,5,188
2021-01-04,6,328
2021-01-04,7,326
2021-01-04,8,245
2021-01-04,9,301
2021-01-04,10,280
2021-01-04,11,280
2021-01-04,12,271
2021-01-04,13,234
2021-01-04,14,230
2021-01-04,15,239
2021-01-04,16,207
2021-01-04,17,218
2021-01-04,18,166
2021-01-04,19,133
2021-01-04,20,102
2021-01-04,21,109
2021-01-04,22,69
2021-01-04,23,155
2021-01-05,0,176
2021-01-05,1,120
2021-01-05,2,297
2021-01-05,3,273
2021-01-05,4,334
2021-01-05,5,222
2021-01-05,6,108
2021-01-05,7,310
2021-01-05,8,294
2021-01-05,9,269
2021-01-05,10,284
2021-01-05,11,275
2021-01-05,12,239
2021-01-05,13,224
2021-01-05,14,204
2021-01-05,15,190
2021-01-05,16,192
2021-01-05,17,192
2021-01-05,18,179
2021-01-05,19,151
2021-01-06,0,113
2021-01-06,1,115
2021-01-06,2,91
2021-01-06,3,189
2021-01-06,4,106
2021-01-06,5,350
2021-01-06,6,295
2021-01-06,7,278
2021-01-06,8,257
2021-01-06,9,214
2021-01-06,10,209
2021-01-06,11,191
2021-01-06,12,154
2021-01-06,13,197
2021-01-06,14,239
2021-01-06,15,268
2021-01-06,16,276
2021-01-06,17,268
2021-01-06,18,267
2021-01-06,19,219
2021-01-06,20,243
2021-01-06,21,71
2021-01-06,22,58
2021-01-06,23,84
2021-01-07,0,308
2021-01-07,1,248
2021-01-07,2,204
2021-01-07,3,243
2021-01-07,4,267
2021-01-07,5,256
2021-01-07,6,220
2021-01-07,7,241
2021-01-07,8,236
2021-01-07,9,199
2021-01-07,10,218
2021-01-07,11,228
2021-01-07,12,273
2021-01-07,13,263
2021-01-07,14,243
2021-01-07,15,214
2021-01-07,16,230
2021-01-07,17,275
2021-01-07,18,296
2021-01-07,19,238
2021-01-07,20,217
2021-01-07,21,126
2021-01-07,22,40
2021-01-07,23,71
2021-01-08,0,170
2021-01-08,1,190
2021-01-08,2,279
2021-01-08,3,319
2021-01-08,4,255
2021-01-08,5,25
2021-01-08,6,281
2021-01-08,7,345
2021-01-08,8,261
2021-01-08,9,297
2021-01-08,10,278
2021-01-08,11,288
2021-01-08,12,273
2021-01-08,13,258
2021-01-08,14,184
2021-01-08,15,218
2021-01-08,16,185
2021-01-08,17,169
2021-01-08,18,162
2021-01-08,19,159
2021-01-08,20,146
2021-01-08,21,172
2021-01-08,22,137
2021-01-08,23,84
2021-01-09,0,115
2021-01-09,1,86
2021-01-09,2,129
2021-01-09,3,203
2021-01-09,4,220
2021-01-09,5,30
2021-01-09,6,111
2021-01-09,7,207
2021-01-09,8,323
2021-01-09,9,246
2021-01-09,10,234
2021-01-09,11,205
2021-01-09,12,187
2021-01-09,13,203
2021-01-09,14,186
2021-01-09,15,186
2021-01-09,16,209
2021-01-09,17,242
2021-01-09,18,274
2021-01-09,19,272
2021-01-09,20,266
2021-01-09,21,187
2021-01-09,22,213
2021-01-09,23,180
2021-01-10,0,288
2021-01-10,1,286
2021-01-10,2,228
2021-01-10,3,111
2021-01-10,4,109
2021-01-10,5,110
2021-01-10,6,74
2021-01-10,7,78
2021-01-10,8,86
2021-01-10,9,134
2021-01-10,10,174
2021-01-10,11,206
2021-01-10,12,234
2021-01-10,13,212
2021-01-10,14,221
2021-01-10,15,278
2021-01-10,16,255
2021-01-10,17,244
2021-01-10,18,253
2021-01-10,19,254
2021-01-10,20,40
2021-01-10,21,97
2021-01-10,22,135
2021-01-10,23,111
2021-01-11,0,59
2021-01-11,1,90
2021-01-11,2,135
2021-01-11,3,166
2021-01-11,4,151
2021-01-11,5,147
2021-01-11,6,159
2021-01-11,7,190
2021-01-11,8,146
2021-01-11,9,292
2021-01-11,10,286
2021-01-11,11,280
2021-01-11,12,238
2021-01-11,13,202
2021-01-11,14,193
2021-01-11,15,195
2021-01-11,16,195
2021-01-11,17,209
2021-01-11,18,191
2021-01-11,19,187
2021-01-11,20,230
2021-01-11,21,133
2021-01-11,22,147
2021-01-11,23,155
2021-01-12,0,181
2021-01-12,1,151
2021-01-12,2,150
2021-01-12,3,164
