Fecha,Hora,WS
2021-01-01,1,0.352
2021-01-01,2,0.088
2021-01-01,3,0.421
2021-01-01,4,1.689
2021-01-01,5,0.323
2021-01-01,6,0.044
2021-01-01,7,0.301
2021-01-01,8,0.447
2021-01-01,9,1.137
2021-01-01,10,1.191
2021-01-01,11,1.541
2021-01-01,12,1.938
2021-01-01,13,2.405
2021-01-01,14,2.654
2021-01-01,15,2.069
2021-01-01,16,2.368
2021-01-01,17,1.971
2021-01-01,18,1.935
2021-01-01,19,0.977
2021-01-01,20,0.725
2021-01-01,21,0.568
2021-01-01,22,1.561
2021-01-01,23,1.079
2021-01-02,0,2.549
2021-01-02,1,1.175
2021-01-02,2,0.105
2021-01-02,3,0.229
2021-01-02,4,0.209
2021-01-02,5,0.186
2021-01-02,6,0.016
2021-01-02,7,0.206
2021-01-02,8,0.346
2021-01-02,9,0.788
2021-01-02,10,2.378
2021-01-02,11,1.853
2021-01-02,12,1.469
2021-01-02,13,1.126
2021-01-02,14,1.4
2021-01-02,15,2.091
2021-01-02,16,1.834
2021-01-02,17,1.368
2021-01-02,18,1.545
2021-01-02,19,0.543
2021-01-02,20,0.132
2021-01-02,21,0.243
2021-01-02,22,0.263
2021-01-02,23,0.188
2021-01-03,0,0.213
2021-01-03,1,0.066
2021-01-03,2,0.044
2021-01-03,3,0.063
2021-01-03,4,0.136
2021-01-03,5,0.108
2021-01-03,6,0.048
2021-01-03,7,0.217
2021-01-03,8,0.54
2021-01-03,9,0.833
2021-01-03,10,0.92
2021-01-03,11,0.387
2021-01-03,12,1.149
2021-01-03,13,1.856
2021-01-03,14,1.484
2021-01-03,15,1.244
2021-01-03,16,1.104
2021-01-03,17,1.267
2021-01-03,18,2.519
2021-01-03,19,0.789
2021-01-03,20,0.255
2021-01-03,21,0.29
2021-01-03,22,0.338
2021-01-03,23,0.203
2021-01-04,0,0.26
2021-01-04,1,0.256
2021-01-04,2,0.031
2021-01-04,3,0.235
2021-01-04,4,0.157
2021-01-04,5,0.088
2021-01-04,6,0.253
